* Measurement data measured by REW V5.40 beta 100
* Source: 
* Format: 
* Dated: Sep 23, 2025 3:00:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FRX-trimmed
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 0.008 0.3550
1.464844 -0.010 0.5092
1.831055 0.005 0.7142
2.197266 0.003 0.7233
2.563477 -0.009 0.9421
2.929688 0.009 1.0782
3.295898 -0.003 1.1143
3.662109 -0.006 1.3671
4.028320 0.010 1.4308
4.394531 -0.008 1.5280
4.760742 0.000 1.7708
5.126953 0.008 1.7858
5.493164 -0.010 1.9585
5.859375 0.006 2.1499
6.225586 0.002 2.1561
6.591797 -0.009 2.3908
6.958008 0.010 2.5072
7.324219 -0.004 2.5506
7.690430 -0.005 2.8116
8.056641 0.010 2.8544
8.422852 -0.010 2.9678
8.789062 0.002 3.2080
9.155273 0.007 3.2064
9.521484 -0.011 3.4003
9.887695 0.008 3.5774
10.253906 0.001 3.5764
10.620117 -0.009 3.8314
10.986328 0.012 3.9242
11.352539 -0.006 3.9726
11.718750 -0.003 4.2471
12.084961 0.011 4.2614
12.451172 -0.012 4.3923
12.817383 0.004 4.6342
13.183594 0.007 4.6051
13.549805 -0.013 4.8258
13.916016 0.011 4.9918
14.282227 -0.000 4.9648
14.648438 -0.011 5.2452
15.014648 0.012 5.3319
15.380859 -0.007 5.3774
15.747070 -0.002 5.6496
16.113281 0.011 5.6408
16.479492 -0.013 5.7933
16.845703 0.006 6.0198
17.211914 0.004 5.9767
17.578125 -0.013 6.2329
17.944336 0.015 6.3462
18.310547 -0.006 6.3231
18.676758 -0.009 6.6509
19.042969 0.018 6.6464
19.409180 -0.015 6.7154
19.775391 0.002 7.0323
20.141602 0.013 6.9283
20.507812 -0.020 7.1405
20.874023 0.016 7.3481
21.240234 0.001 7.2033
21.606445 -0.019 7.5733
21.972656 0.027 7.5937
22.338867 -0.017 7.5119
22.705078 -0.006 7.9727
23.071289 0.032 7.7187
23.437500 -0.041 7.8416
23.803711 0.021 8.2679
24.169922 0.021 7.6688
24.536133 -0.064 8.1851
24.902344 0.087 8.1112
25.268555 -0.077 6.5583
25.634766 -0.356 8.4830
26.000977 0.022 9.4218
26.367188 -0.080 5.9885
26.733398 -0.858 7.7445
27.099609 -0.583 13.5059
27.465820 0.051 12.5987
27.832031 -0.006 10.7301
28.198242 -0.037 11.3107
28.564453 0.053 10.8709
28.930664 -0.030 10.6808
29.296875 -0.004 11.1539
29.663086 0.023 10.8648
30.029297 -0.023 11.0117
30.395508 0.011 11.2305
30.761719 0.003 11.0977
31.127930 -0.012 11.3563
31.494141 0.013 11.4055
31.860352 -0.009 11.4300
32.226562 -0.000 11.6822
32.592773 0.010 11.6301
32.958984 -0.017 11.7840
33.325195 0.006 12.0140
33.691406 0.009 11.9384
34.057617 -0.013 12.1193
34.423828 0.006 12.2892
34.790039 0.002 12.2813
35.156250 -0.007 12.4696
35.522461 0.006 12.5677
35.888672 -0.003 12.6283
36.254883 -0.002 12.8071
36.621094 0.005 12.8672
36.987305 -0.004 12.9738
37.353516 0.001 13.1264
37.719727 0.003 13.1815
38.085938 -0.004 13.3081
38.452148 0.001 13.4385
38.818359 0.001 13.5117
39.184570 -0.002 13.6305
39.550781 0.001 13.7437
39.916992 0.001 13.8366
40.283203 -0.001 13.9436
40.649414 -0.000 14.0608
41.015625 0.002 14.1507
41.381836 -0.002 14.2400
41.748047 -0.002 14.3828
42.114258 0.005 14.4536
42.480469 -0.005 14.5303
42.846680 -0.003 14.7135
43.212891 0.008 14.7643
43.579102 -0.003 14.8168
43.945312 -0.003 14.9920
44.311523 0.005 15.0386
44.677734 -0.006 15.1352
45.043945 0.003 15.2847
45.410156 0.004 15.2929
45.776367 -0.008 15.4373
46.142578 0.007 15.5611
46.508789 0.001 15.5404
46.875000 -0.011 15.7326
47.241211 0.011 15.8347
47.607422 0.002 15.7877
47.973633 -0.010 15.9831
48.339844 0.008 16.0609
48.706055 -0.006 16.0599
49.072266 -0.005 16.2946
49.438477 0.021 16.2669
49.804688 -0.010 16.1829
50.170898 -0.026 16.5295
50.537109 0.017 16.6344
50.903320 0.010 16.4544
51.269531 -0.017 16.6409
51.635742 0.007 16.7932
52.001953 0.006 16.7042
52.368164 -0.011 16.8445
52.734375 0.007 16.9449
53.100586 0.002 16.8905
53.466797 -0.007 17.0251
53.833008 0.007 17.0587
54.199219 -0.006 17.0460
54.565430 -0.003 17.2156
54.931641 0.014 17.1497
55.297852 -0.012 17.1428
55.664062 -0.002 17.3522
56.030273 0.017 17.2063
56.396484 -0.017 17.2032
56.762695 -0.002 17.4313
57.128906 0.018 17.2499
57.495117 -0.014 17.2359
57.861328 0.000 17.3914
58.227539 0.011 17.2246
58.593750 -0.008 17.2097
58.959961 -0.001 17.2253
59.326172 -0.005 17.1735
59.692383 0.011 17.1530
60.058594 0.008 16.8593
60.424805 -0.029 16.9046
60.791016 0.017 16.9385
61.157227 0.013 16.4004
61.523438 -0.033 16.4515
61.889648 0.031 16.2534
62.255859 -0.010 15.5124
62.622070 -0.027 15.6025
62.988281 0.066 14.3954
63.354492 -0.192 12.6662
63.720703 -0.460 13.6503
64.086914 -0.391 13.7383
64.453125 -0.603 12.7988
64.819336 -0.719 14.0521
65.185547 -0.577 12.5585
65.551758 -1.151 9.8982
65.917969 -1.884 13.0614
66.284180 -1.886 16.4684
66.650391 -2.113 18.1742
67.016602 -2.158 23.3142
67.382812 -1.609 26.1539
67.749023 -1.308 27.0427
68.115234 -0.826 28.9390
68.481445 -0.150 27.4722
68.847656 0.033 24.2018
69.213867 -0.023 22.7567
69.580078 0.011 21.8610
69.946289 -0.000 20.8763
70.312500 -0.005 20.2826
70.678711 0.007 19.5498
71.044922 -0.005 18.8974
71.411133 0.002 18.2637
71.777344 -0.002 17.5475
72.143555 0.003 16.8550
72.509766 0.004 15.9483
72.875977 -0.011 15.1139
73.242188 0.006 14.1283
73.608398 -0.003 12.8442
73.974609 0.000 11.5423
74.340820 0.010 9.6202
74.707031 -0.031 7.5319
75.073242 0.054 4.5583
75.439453 -0.068 -1.7083
75.805664 -1.014 -8.3960
76.171875 -2.424 -9.8863
76.538086 -3.386 -8.1114
76.904297 -4.260 -7.4961
77.270508 -5.327 -5.2224
77.636719 -6.235 -1.5202
78.002930 -7.228 3.0450
78.369141 -8.075 10.7798
78.735352 -8.485 19.3112
79.101562 -8.645 28.3111
79.467773 -8.378 36.9781
79.833984 -7.964 44.2414
80.200195 -7.311 51.4597
80.566406 -6.376 56.2539
80.932617 -5.589 59.1553
81.298828 -4.797 62.1828
81.665039 -3.844 63.9722
82.031250 -2.933 63.9193
82.397461 -2.148 62.7261
82.763672 -1.508 60.7646
83.129883 -1.021 58.5685
83.496094 -0.611 56.4574
83.862305 -0.238 53.9721
84.228516 -0.006 50.8839
84.594727 0.016 48.1911
84.960938 -0.016 46.6295
85.327148 0.008 45.4024
85.693359 0.003 44.1839
86.059570 -0.009 43.3694
86.425781 0.008 42.5784
86.791992 -0.002 41.8014
87.158203 -0.005 41.2862
87.524414 0.008 40.6855
87.890625 -0.005 40.1531
88.256836 -0.001 39.7796
88.623047 0.006 39.2840
88.989258 -0.007 38.9120
89.355469 0.003 38.5968
89.721680 0.002 38.1791
90.087891 -0.006 37.9137
90.454102 0.006 37.6098
90.820312 -0.002 37.2607
91.186523 -0.003 37.0541
91.552734 0.006 36.7447
91.918945 -0.005 36.4650
92.285156 0.001 36.2688
92.651367 0.003 35.9471
93.017578 -0.007 35.7401
93.383789 0.007 35.5212
93.750000 0.001 35.1754
94.116211 -0.010 35.0294
94.482422 0.010 34.7963
94.848633 0.002 34.4286
95.214844 -0.009 34.2743
95.581055 0.007 34.0201
95.947266 -0.001 33.6867
96.313477 -0.004 33.4979
96.679688 0.006 33.1810
97.045898 -0.005 32.8765
97.412109 0.001 32.6442
97.778320 0.004 32.2699
98.144531 -0.006 31.9826
98.510742 0.005 31.6742
98.876953 -0.000 31.2399
99.243164 -0.008 30.9726
99.609375 0.013 30.5622
99.975586 -0.003 30.0168
100.341797 -0.017 29.7571
100.708008 0.014 29.3095
101.074219 0.004 28.6446
101.440430 -0.011 28.2395
101.806641 0.009 27.6797
102.172852 -0.002 26.9706
102.539062 -0.006 26.4275
102.905273 0.010 25.6468
103.271484 -0.008 24.8191
103.637695 -0.000 24.0786
104.003906 0.010 22.9848
104.370117 -0.015 21.9540
104.736328 0.011 20.8341
105.102539 0.002 19.1599
105.468750 -0.043 17.7714
105.834961 0.028 15.8686
106.201172 -0.030 12.4403
106.567383 -0.331 9.5058
106.933594 -0.560 7.0082
107.299805 -0.936 2.8465
107.666016 -1.813 -0.1887
108.032227 -2.638 0.4842
108.398438 -3.120 0.8439
108.764648 -3.841 0.7644
109.130859 -4.541 3.6438
109.497070 -4.814 6.7294
109.863281 -5.038 8.8219
110.229492 -5.105 11.2533
110.595703 -4.961 11.7524
110.961914 -5.024 10.1558
111.328125 -5.387 8.5532
111.694336 -5.912 7.9655
112.060547 -6.444 8.3856
112.426758 -6.967 8.9575
112.792969 -7.610 10.1323
113.159180 -8.208 12.9456
113.525391 -8.606 16.0926
113.891602 -8.950 19.0144
114.257812 -9.215 22.0639
114.624023 -9.424 24.4996
114.990234 -9.716 26.6548
115.356445 -10.059 29.2423
115.722656 -10.404 32.3106
116.088867 -10.729 35.8627
116.455078 -11.017 39.9182
116.821289 -11.226 44.4573
117.187500 -11.367 49.1534
117.553711 -11.451 54.5514
117.919922 -11.284 60.4090
118.286133 -10.924 65.0721
118.652344 -10.559 68.8290
119.018555 -10.176 72.0477
119.384766 -9.818 74.8472
119.750977 -9.420 77.5583
120.117188 -8.987 79.4054
120.483398 -8.661 80.6908
120.849609 -8.417 82.0775
121.215820 -8.260 83.8997
121.582031 -8.038 86.9951
121.948242 -7.575 89.7501
122.314453 -7.162 91.5250
122.680664 -6.730 94.1993
123.046875 -6.038 96.3218
123.413086 -5.355 96.9107
123.779297 -4.693 97.3620
124.145508 -3.907 96.9126
124.511719 -3.156 94.6614
124.877930 -2.608 91.0760
125.244141 -2.347 87.4117
125.610352 -2.174 84.9983
125.976562 -1.854 82.1884
126.342773 -1.730 77.5910
126.708984 -1.982 73.8998
127.075195 -2.202 71.9187
127.441406 -2.416 69.3142
127.807617 -2.902 67.5485
128.173828 -3.291 67.9138
128.540039 -3.521 67.6591
128.906250 -3.968 67.5990
129.272461 -4.358 69.7729
129.638672 -4.459 72.0399
130.004883 -4.531 73.5579
130.371094 -4.616 75.3017
130.737305 -4.634 77.4768
131.103516 -4.483 79.6054
131.469727 -4.268 80.3224
131.835938 -4.260 80.6215
132.202148 -4.251 82.2935
132.568359 -4.027 83.5291
132.934570 -3.904 83.4629
133.300781 -3.945 84.0714
133.666992 -3.922 85.5305
134.033203 -3.832 87.0345
134.399414 -3.691 88.6053
134.765625 -3.527 89.9839
135.131836 -3.387 91.8902
135.498047 -3.058 94.6578
135.864258 -2.452 96.6446
136.230469 -1.710 96.9333
136.596680 -0.978 95.0401
136.962891 -0.514 91.4577
137.329102 -0.331 88.1705
137.695312 -0.224 85.2863
138.061523 -0.309 82.4265
138.427734 -0.507 81.7091
138.793945 -0.331 81.8130
139.160156 -0.104 79.3964
139.526367 -0.207 77.0649
139.892578 -0.214 76.0804
140.258789 -0.153 73.6548
140.625000 -0.375 71.1233
140.991211 -0.605 69.8481
141.357422 -0.853 68.1072
141.723633 -1.316 67.5869
142.089844 -1.553 68.9634
142.456055 -1.590 69.0125
142.822266 -1.819 68.7275
143.188477 -2.043 69.7507
143.554688 -2.127 71.1711
143.920898 -2.058 72.6108
144.287109 -1.866 72.9849
144.653320 -1.747 72.7148
145.019531 -1.542 72.4569
145.385742 -1.288 70.3040
145.751953 -1.347 66.9808
146.118164 -1.627 64.4875
146.484375 -2.008 62.4318
146.850586 -2.564 61.5147
147.216797 -3.032 62.4019
147.583008 -3.351 63.1915
147.949219 -3.720 64.2037
148.315430 -3.996 65.9010
