* Measurement data measured by REW V5.30 beta 5
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -19.9 dBFS, measurement signal peak level -14.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 21, 2025 2:31:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; LEFT+RIGHT restored white panels around the LP Speakers@120 Sofa blue mark=mic@449 from front wall Delay -0.0425 ms (-15 mm, -0.57 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -6.9 ppm
* Measurement: L+R.120.Blue
* Smoothing: Variable
* Frequency Step: 96 ppo
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 52.123 -23.8358
5.164105 51.681 -25.1442
5.201526 51.048 -27.3369
5.239219 50.344 -30.3674
5.277184 49.640 -34.2176
5.315425 48.936 -38.9271
5.353943 48.226 -44.4746
5.392740 47.507 -50.6407
5.431818 46.797 -56.8474
5.471179 46.175 -62.1039
5.510825 45.798 -65.2702
5.550759 45.769 -64.8112
5.590982 46.041 -53.2534
5.631497 46.499 39.0551
5.672305 47.065 77.7648
5.713409 47.686 83.2118
5.754810 48.305 84.0959
5.796512 48.866 83.3482
5.838516 49.328 81.2766
5.880824 49.678 77.3393
5.923439 49.936 70.7420
5.966363 50.130 61.0795
6.009598 50.287 48.8435
6.053146 50.428 35.4158
6.097009 50.575 22.4255
6.141191 50.751 10.8802
6.185692 50.983 0.6516
6.230516 51.299 -9.5165
6.275665 51.712 -21.4360
6.321141 52.214 -36.1852
6.366947 52.773 -52.6334
6.413084 53.344 -67.9911
6.459556 53.882 -80.3583
6.506365 54.341 -89.5772
6.553513 54.686 -96.4339
6.601002 54.908 -102.0452
6.648836 55.024 -107.4977
6.697016 55.051 -113.4915
6.745545 54.990 -120.1502
6.794426 54.825 -127.1205
6.843661 54.537 -133.7625
6.893253 54.098 -139.3043
6.943205 53.457 -143.1187
6.993518 52.537 -145.0033
7.044196 51.277 -145.0646
7.095241 49.698 -143.2590
7.146656 47.937 -139.0154
7.198444 46.231 -131.2146
7.250607 44.873 -118.9640
7.303148 44.191 -103.8378
7.356069 44.448 -90.3978
7.409374 45.628 -81.4253
7.463066 47.447 -76.2619
7.517146 49.543 -73.3666
7.571618 51.570 -71.5868
7.626485 53.260 -70.2173
7.681750 54.480 -68.9034
7.737415 55.225 -67.5516
7.793484 55.576 -66.2015
7.849959 55.657 -64.9067
7.906843 55.607 -63.7024
7.964139 55.581 -62.6174
8.021850 55.734 -61.6282
8.079980 56.158 -60.6307
8.138531 56.839 -59.5670
8.197506 57.689 -58.5645
8.256908 58.605 -57.8850
8.316741 59.490 -57.7904
8.377008 60.270 -58.4966
8.437711 60.920 -60.1557
8.498854 61.454 -62.7690
8.560441 61.891 -66.1266
8.622473 62.234 -69.8883
8.684955 62.469 -73.7401
8.747890 62.571 -77.5439
8.811281 62.515 -81.4325
8.875131 62.287 -85.7294
8.939444 61.904 -90.6897
9.004223 61.416 -96.2635
9.069471 60.891 -102.0466
9.135192 60.379 -107.4738
9.201389 59.884 -112.1823
9.268066 59.387 -116.1980
9.335227 58.902 -119.7399
9.402873 58.501 -122.9504
9.471011 58.295 -125.8040
9.539641 58.392 -128.1479
9.608770 58.825 -129.8267
9.678399 59.510 -130.8338
9.748532 60.275 -131.3308
9.819174 60.956 -131.5441
9.890328 61.457 -131.6835
9.961997 61.765 -132.4316
10.034186 61.914 -133.0839
10.106898 61.948 -133.4472
10.180137 61.886 -133.2445
10.253906 61.722 -132.1591
10.328210 61.438 -129.6013
10.403053 61.045 -126.0051
10.478438 60.605 -121.8557
10.554369 60.244 -117.8714
10.630850 60.103 -114.5909
10.707885 60.244 -112.0698
10.785479 60.560 -110.2830
10.863635 60.817 -109.0275
10.942358 60.772 -108.1954
11.021650 60.267 -107.7545
11.101518 59.260 -107.7491
11.181964 57.862 -108.1880
11.262993 56.342 -108.6682
11.344609 55.031 -108.1934
11.426817 54.102 -105.7211
11.509621 53.546 -101.9234
11.593024 53.406 -99.6663
11.677032 53.932 -101.8638
11.761648 55.436 -108.3593
11.846878 57.775 -116.1389
11.932726 60.316 -122.9674
12.019195 62.559 -128.8265
12.106291 64.343 -134.4970
12.194018 65.703 -140.2252
12.282381 66.717 -145.4887
12.371384 67.425 -149.5724
12.461032 67.810 -152.2636
12.551330 67.866 -153.7987
12.642282 67.664 -154.4835
12.733894 67.383 -154.2885
12.826169 67.228 -152.9350
12.919112 67.287 -150.3320
13.012730 67.513 -147.0300
13.107025 67.837 -144.0067
13.202004 68.242 -142.0544
13.297671 68.716 -141.3200
13.394032 69.182 -141.4680
13.491090 69.502 -142.1081
13.588852 69.569 -143.0833
13.687323 69.373 -144.3625
13.786507 69.017 -145.7598
13.886409 68.661 -146.8394
13.987036 68.416 -147.2333
14.088392 68.312 -147.0240
14.190482 68.369 -146.6815
14.293312 68.646 -146.6649
14.396888 69.157 -147.1171
14.501213 69.792 -147.9783
14.606295 70.384 -149.2114
14.712138 70.834 -150.8291
14.818749 71.144 -152.7259
14.926131 71.366 -154.6194
15.034292 71.543 -156.2390
15.143237 71.696 -157.5159
15.252971 71.853 -158.5538
15.363500 72.058 -159.4513
15.474831 72.336 -160.2533
15.586968 72.667 -161.0460
15.699917 72.997 -161.9769
15.813685 73.285 -163.1562
15.928278 73.529 -164.5960
16.043701 73.743 -166.2659
16.159960 73.940 -168.1510
16.277062 74.123 -170.2245
16.395012 74.289 -172.4253
16.513817 74.438 -174.6961
16.633483 74.565 -176.9876
16.754016 74.656 -179.1985
16.875422 74.691 178.8032
16.997709 74.679 177.0737
17.120881 74.668 175.5886
17.244946 74.723 174.3242
17.369910 74.873 173.2256
17.495780 75.114 172.1335
17.622561 75.433 170.8737
17.750262 75.797 169.4040
17.878887 76.142 167.7962
18.008445 76.409 166.1196
18.138942 76.592 164.4261
18.270384 76.730 162.7941
18.402779 76.864 161.2789
18.536133 77.020 159.8263
18.670453 77.223 158.3073
18.805747 77.474 156.6293
18.942021 77.734 154.7698
19.079283 77.950 152.7287
19.217539 78.101 150.5312
19.356797 78.204 148.2524
19.497065 78.288 145.9687
19.638349 78.379 143.6916
19.780656 78.504 141.3834
19.923995 78.660 139.0322
20.068372 78.803 136.6783
20.213796 78.880 134.3769
20.360274 78.873 132.2178
20.507813 78.797 130.3342
20.656421 78.699 128.7949
20.806106 78.650 127.5268
20.956875 78.722 126.3613
21.108737 78.918 125.1028
21.261700 79.178 123.5667
21.415771 79.435 121.6811
21.570958 79.640 119.5363
21.727270 79.771 117.2830
21.884715 79.846 115.0632
22.043301 79.905 112.9820
22.203036 79.974 111.0681
22.363928 80.057 109.2666
22.525986 80.147 107.4841
22.689219 80.234 105.6336
22.853634 80.318 103.6353
23.019241 80.413 101.4388
23.186048 80.537 99.0186
23.354064 80.688 96.3738
23.523297 80.844 93.5347
23.693756 80.973 90.5815
23.865451 81.048 87.6397
24.038390 81.058 84.8596
24.212582 81.012 82.3898
24.388037 80.938 80.3206
24.564762 80.877 78.6325
24.742769 80.871 77.1501
24.922065 80.955 75.5662
25.102661 81.135 73.5278
25.284565 81.378 70.7766
25.467787 81.621 67.2242
25.652337 81.791 62.9694
25.838225 81.831 58.2324
26.025459 81.704 53.3035
26.214050 81.405 48.4870
26.404008 80.945 44.0840
26.595342 80.354 40.3685
26.788063 79.679 37.5699
26.982181 78.986 35.8126
27.177705 78.370 35.0410
27.374645 77.924 34.9553
27.573013 77.683 35.0638
27.772819 77.606 34.8607
27.974072 77.618 34.0046
28.176784 77.651 32.3778
28.380964 77.646 30.0265
28.586625 77.546 27.1023
28.793775 77.298 23.8354
29.002427 76.851 20.5590
29.212590 76.177 17.7192
29.424277 75.299 15.8713
29.637497 74.316 15.5846
29.852263 73.392 17.2215
30.068584 72.690 20.6437
30.286474 72.289 25.0944
30.505942 72.164 29.5897
30.727001 72.230 33.4909
30.949661 72.400 36.6648
31.173935 72.609 39.2644
31.399834 72.827 41.4839
31.627370 73.059 43.4299
31.856555 73.333 45.0602
32.087401 73.673 46.1958
32.319920 74.083 46.6212
32.554123 74.540 46.2063
32.790024 75.012 44.9909
33.027634 75.467 43.1825
33.266966 75.879 41.0726
33.508032 76.244 38.9085
33.750845 76.574 36.7546
33.995417 76.896 34.4160
34.241762 77.217 31.5100
34.489892 77.507 27.6796
34.739820 77.697 22.8142
34.991559 77.712 17.1316
35.245122 77.509 11.1305
35.500523 77.094 5.4297
35.757774 76.531 0.5670
36.016890 75.908 -3.2307
36.277883 75.290 -6.1163
36.540768 74.668 -8.4509
36.805557 73.981 -10.4626
37.072265 73.189 -12.0305
37.340906 72.324 -12.7645
37.611494 71.487 -12.3099
37.884042 70.771 -10.6234
38.158566 70.197 -7.9282
38.435078 69.742 -4.3644
38.713595 69.425 0.1248
38.994130 69.365 5.2852
39.276697 69.688 9.9833
39.561312 70.313 12.7821
39.847990 70.951 13.1549
40.136745 71.343 11.6190
40.427592 71.395 9.0173
40.720547 71.161 5.9814
41.015625 70.793 2.7781
41.312841 70.441 -0.5254
41.612211 70.143 -3.6841
41.913750 69.813 -6.0502
42.217475 69.386 -6.7905
42.523400 68.918 -5.4346
42.831542 68.529 -2.4110
43.141917 68.278 1.0140
43.454541 68.119 3.6604
43.769430 67.964 5.1996
44.086602 67.743 5.9579
44.406072 67.432 6.3391
44.727856 67.053 6.5182
45.051973 66.657 6.5425
45.378438 66.321 6.6662
45.707269 66.120 7.4824
46.038482 66.071 9.5232
46.372096 66.118 12.7377
46.708128 66.164 16.5626
47.046594 66.155 20.5299
47.387513 66.189 24.7539
47.730902 66.515 29.7672
48.076780 67.337 35.4869
48.425164 68.552 40.5451
48.776073 69.750 43.5681
49.129525 70.589 44.3136
49.485537 71.044 43.0635
49.844130 71.343 39.8533
50.205321 71.683 34.6119
50.569130 72.037 27.8249
50.935574 72.295 20.5863
51.304674 72.422 13.9186
51.676449 72.456 8.2977
52.050918 72.457 3.6497
52.428101 72.447 -0.4824
52.808016 72.381 -4.7097
53.190685 72.185 -9.5037
53.576126 71.842 -14.8945
53.964361 71.391 -20.3298
54.355409 70.886 -24.9935
54.749291 70.370 -28.5707
55.146027 69.887 -31.7148
55.545638 69.491 -35.5583
55.948144 69.221 -40.6282
56.353568 69.037 -46.4261
56.761929 68.818 -52.3268
57.173249 68.472 -58.5548
57.587550 68.048 -65.9884
58.004853 67.745 -75.1080
58.425180 67.746 -85.3546
58.848553 68.044 -96.0762
59.274994 68.552 -107.5537
59.704525 69.309 -120.1318
60.137169 70.396 -133.0333
60.572947 71.743 -145.1763
61.011884 73.176 -156.6671
61.454001 74.565 -168.4410
61.899322 75.844 178.9680
62.347870 76.970 165.9226
62.799669 77.919 153.2233
63.254741 78.690 141.3913
63.713111 79.318 130.4417
64.174802 79.860 120.1332
64.639839 80.362 110.2344
65.108246 80.834 100.5454
65.580047 81.244 90.8043
66.055268 81.532 80.7673
66.533931 81.632 70.4466
67.016064 81.486 60.2108
67.501690 81.078 50.6016
67.990835 80.455 42.0539
68.483524 79.724 34.7105
68.979784 78.979 28.3785
69.479640 78.239 22.6839
69.983118 77.460 17.3401
70.490245 76.590 12.2601
71.001046 75.588 7.4041
71.515549 74.396 2.6285
72.033780 72.907 -2.1276
72.555766 70.991 -6.2846
73.081535 68.655 -7.1049
73.611114 66.807 12.7830
74.144531 67.677 95.7285
74.681813 70.477 110.2088
75.222988 73.164 107.0478
75.768085 75.290 100.1448
76.317131 76.920 91.8923
76.870157 78.156 83.0671
77.427190 79.035 74.0441
77.988259 79.541 65.1501
78.553394 79.661 56.9598
79.122624 79.446 50.4299
79.695980 79.069 46.5379
80.273489 78.813 45.4194
80.855184 78.915 45.7256
81.441094 79.367 45.4283
82.031250 79.960 43.3617
82.625682 80.490 39.5126
83.224422 80.848 34.4409
83.827500 81.010 28.8582
84.434949 81.002 23.3953
85.046800 80.871 18.4174
85.663084 80.656 13.9681
86.283834 80.372 9.9446
86.909082 80.019 6.4083
87.538861 79.619 3.6644
