* Measurement data measured by REW V5.30 beta 5
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -20.5 dBFS, measurement signal peak level -18.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 21, 2025 2:29:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: ; LEFT restored white panels around the LP Speakers@120 Sofa blue mark=mic@449 from front wall Delay -0.0407 ms (-14 mm, -0.55 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset Clock adjustment: -6.7 ppm
* Measurement: L.120.Blue
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 47.259 -129.6214
5.164105 47.425 -175.0198
5.201526 47.599 158.2186
5.239219 47.779 145.6819
5.277184 47.967 138.7725
5.315425 48.161 134.3138
5.353943 48.360 131.0839
5.392740 48.565 128.5364
5.431818 48.773 126.3948
5.471179 48.985 124.5054
5.510825 49.200 122.7765
5.550759 49.417 121.1503
5.590982 49.635 119.5891
5.631497 49.853 118.0680
5.672305 50.071 116.5698
5.713409 50.288 115.0833
5.754810 50.503 113.6013
5.796512 50.715 112.1196
5.838516 50.924 110.6361
5.880824 51.130 109.1508
5.923439 51.331 107.6649
5.966363 51.526 106.1809
6.009598 51.717 104.7023
6.053146 51.901 103.2332
6.097009 52.079 101.7780
6.141191 52.251 100.3421
6.185692 52.416 98.9306
6.230516 52.574 97.5489
6.275665 52.725 96.2024
6.321141 52.869 94.8965
6.366947 53.006 93.6361
6.413084 53.137 92.4261
6.459556 53.261 91.2709
6.506365 53.380 90.1745
6.553513 53.493 89.1404
6.601002 53.601 88.1718
6.648836 53.704 87.2712
6.697016 53.804 86.4408
6.745545 53.901 85.6821
6.794426 53.996 84.9965
6.843661 54.090 84.3847
6.893253 54.183 83.8476
6.943205 54.277 83.3856
6.993518 54.371 82.9999
7.044196 54.468 82.6921
7.095241 54.566 82.4659
7.146656 54.667 82.3281
7.198444 54.771 82.2924
7.250607 54.877 82.3865
7.303148 54.987 82.6697
7.356069 55.100 83.2867
7.409374 55.216 84.6800
7.463066 55.334 89.0558
7.517146 55.455 171.6183
7.571618 55.577 -108.8516
7.626485 55.702 -104.4864
7.681750 55.827 -103.0282
7.737415 55.954 -102.3081
7.793484 56.082 -101.8878
7.849959 56.211 -101.6231
7.906843 56.341 -101.4544
7.964139 56.472 -101.3538
8.021850 56.605 -101.3080
8.079980 56.740 -101.3106
8.138531 56.878 -101.3598
8.197506 57.018 -101.4561
8.256908 57.163 -101.6019
8.316741 57.313 -101.8008
8.377008 57.468 -102.0574
8.437711 57.630 -102.3765
8.498854 57.798 -102.7637
8.560441 57.974 -103.2239
8.622473 58.158 -103.7617
8.684955 58.350 -104.3806
8.747890 58.550 -105.0826
8.811281 58.758 -105.8676
8.875131 58.974 -106.7331
8.939444 59.196 -107.6737
9.004223 59.426 -108.6814
9.069471 59.661 -109.7451
9.135192 59.900 -110.8511
9.201389 60.144 -111.9840
9.268066 60.391 -113.1269
9.335227 60.639 -114.2627
9.402873 60.889 -115.3748
9.471011 61.140 -116.4479
9.539641 61.390 -117.4690
9.608770 61.638 -118.4276
9.678399 61.885 -119.3160
9.748532 62.130 -120.1297
9.819174 62.371 -120.8669
9.890328 62.608 -121.5528
9.961997 62.842 -122.8001
10.034186 63.070 -123.9807
10.106898 63.294 -125.1016
10.180137 63.513 -126.1713
10.253906 63.726 -127.1990
10.328210 63.933 -127.8332
10.403053 64.134 -128.4460
10.478438 64.328 -129.0482
10.554369 64.516 -129.6501
10.630850 64.697 -130.2423
10.707885 64.871 -130.7334
10.785479 65.037 -131.2530
10.863635 65.196 -131.8094
10.942358 65.347 -132.4096
11.021650 65.490 -133.0219
11.101518 65.624 -133.6416
11.181964 65.750 -134.3197
11.262993 65.868 -135.0587
11.344609 65.977 -135.8600
11.426817 66.076 -136.6697
11.509621 66.167 -137.5349
11.593024 66.249 -138.4592
11.677032 66.322 -139.4395
11.761648 66.386 -140.4490
11.846878 66.442 -141.4832
11.932726 66.488 -142.5575
12.019195 66.527 -143.6651
12.106291 66.557 -144.7891
12.194018 66.580 -145.9025
12.282381 66.595 -147.0235
12.371384 66.603 -148.1427
12.461032 66.606 -149.2472
12.551330 66.602 -150.3058
12.642282 66.594 -151.3343
12.733894 66.582 -152.3241
12.826169 66.566 -153.2660
12.919112 66.548 -154.1361
13.012730 66.529 -154.9501
13.107025 66.510 -155.7057
13.202004 66.491 -156.3989
13.297671 66.474 -157.0205
13.394032 66.459 -157.5890
13.491090 66.449 -158.1102
13.588852 66.443 -158.5851
13.687323 66.443 -159.0193
13.786507 66.449 -159.4330
13.886409 66.462 -159.8370
13.987036 66.483 -160.2344
14.088392 66.512 -160.6412
14.190482 66.549 -161.0715
14.293312 66.595 -161.5343
14.396888 66.649 -162.0305
14.501213 66.711 -162.5779
14.606295 66.782 -163.1835
14.712138 66.860 -163.8481
14.818749 66.946 -164.5774
14.926131 67.040 -165.3775
15.034292 67.140 -166.2487
15.143237 67.247 -167.1866
15.252971 67.360 -168.1958
15.363500 67.479 -169.2740
15.474831 67.603 -170.4140
15.586968 67.731 -171.6155
15.699917 67.864 -172.8749
15.813685 68.002 -174.1850
15.928278 68.143 -175.5415
16.043701 68.287 -176.9417
16.159960 68.434 -178.3795
16.277062 68.584 -179.8495
16.395012 68.736 178.6501
16.513817 68.890 177.1242
16.633483 69.046 175.5772
16.754016 69.203 174.0102
16.875422 69.361 172.4263
16.997709 69.520 170.8285
17.120881 69.679 169.2174
17.244946 69.839 167.5950
17.369910 69.998 165.9631
17.495780 70.157 164.3215
17.622561 70.315 162.6710
17.750262 70.472 161.0121
17.878887 70.628 159.3451
18.008445 70.783 157.6703
18.138942 70.936 155.9878
18.270384 71.087 154.2979
18.402779 71.237 152.6005
18.536133 71.384 150.8960
18.670453 71.528 149.1844
18.805747 71.671 147.4646
18.942021 71.810 145.7382
19.079283 71.947 144.0052
19.217539 72.081 142.2659
19.356797 72.212 140.5209
19.497065 72.340 138.7699
19.638349 72.464 137.0136
19.780656 72.585 135.2531
19.923995 72.702 133.4872
20.068372 72.816 131.7181
20.213796 72.926 129.9454
20.360274 73.032 128.1696
20.507813 73.134 126.3918
20.656421 73.232 124.6102
20.806106 73.326 122.8273
20.956875 73.415 121.0417
21.108737 73.501 119.2540
21.261700 73.582 117.4653
21.415771 73.658 115.6741
21.570958 73.730 113.8827
21.727270 73.798 112.0890
21.884715 73.861 110.2946
22.043301 73.919 108.4993
22.203036 73.972 106.7028
22.363928 74.020 104.9063
22.525986 74.063 103.1076
22.689219 74.102 101.3098
22.853634 74.135 99.5110
23.019241 74.162 97.7137
23.186048 74.185 95.9164
23.354064 74.201 94.1212
23.523297 74.212 92.3286
23.693756 74.218 90.5397
23.865451 74.217 88.7570
24.038390 74.210 86.9814
24.212582 74.197 85.2167
24.388037 74.178 83.4641
24.564762 74.152 81.7289
24.742769 74.119 80.0128
24.922065 74.080 78.3223
25.102661 74.034 76.6599
25.284565 73.981 75.0333
25.467787 73.921 73.4453
25.652337 73.855 71.9047
25.838225 73.782 70.4150
26.025459 73.702 68.9854
26.214050 73.617 67.6198
26.404008 73.525 66.3268
26.595342 73.428 65.1106
26.788063 73.326 63.9788
26.982181 73.220 62.9352
27.177705 73.111 61.9852
27.374645 72.999 61.1311
27.573013 72.886 60.3743
27.772819 72.773 59.7148
27.974072 72.661 59.1491
28.176784 72.551 58.6741
28.380964 72.445 58.2811
28.586625 72.345 57.9627
28.793775 72.251 57.7047
29.002427 72.165 57.4960
29.212590 72.089 57.3210
29.424277 72.022 57.1645
29.637497 71.966 57.0115
29.852263 71.922 56.8452
30.068584 71.889 56.6539
30.286474 71.867 56.4238
30.505942 71.855 56.1449
30.727001 71.854 55.8089
30.949661 71.861 55.4086
31.173935 71.876 54.9413
31.399834 71.896 54.4036
31.627370 71.922 53.7961
31.856555 71.951 53.1207
32.087401 71.981 52.3784
32.319920 72.012 51.5751
32.554123 72.042 50.7152
32.790024 72.070 49.8041
33.027634 72.094 48.8494
33.266966 72.114 47.8575
33.508032 72.130 46.8358
33.750845 72.139 45.7932
33.995417 72.142 44.7376
34.241762 72.138 43.6775
34.489892 72.127 42.6218
34.739820 72.109 41.5786
34.991559 72.083 40.5524
35.245122 72.050 39.5601
35.500523 72.010 38.6143
35.757774 71.964 37.7269
36.016890 71.912 36.8991
36.277883 71.855 36.1375
36.540768 71.794 35.4482
36.805557 71.730 34.8364
37.072265 71.664 34.3069
37.340906 71.599 33.8627
37.611494 71.536 33.5042
37.884042 71.476 33.2330
38.158566 71.423 33.0471
38.435078 71.377 32.9421
38.713595 71.341 32.9100
