* Measurement data measured by REW V5.40 beta 121
* Source: Vector average
* Format: Vector average
* Dated: Aug 12, 2026, 3:28:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Vector average of LFiltered, RFiltered
* Measurement: LR.Filtered
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 62.091 40.4604
15.380859 68.425 0.2767
15.747070 69.486 -26.6134
16.113281 69.941 -27.7551
16.479492 71.634 -31.8684
16.845703 72.267 -41.6288
17.211914 72.360 -53.1281
17.578125 72.583 -62.3658
17.944336 73.451 -71.2274
18.310547 73.715 -80.3067
18.676758 73.581 -87.4301
19.042969 73.321 -98.4769
19.409180 73.163 -107.6438
19.775391 74.784 -112.3382
20.141602 76.704 -124.0353
20.507812 76.306 -137.8183
20.874023 73.685 -139.7303
21.240234 72.633 -129.6165
21.606445 73.317 -133.8049
21.972656 73.671 -143.3527
22.338867 74.203 -149.0988
22.705078 74.671 -153.6346
23.071289 74.912 -157.5661
23.437500 75.271 -164.1113
23.803711 75.397 -173.8195
24.169922 75.061 178.4097
24.536133 74.644 174.9227
24.902344 74.356 171.4523
25.268555 73.770 165.8603
25.634766 72.948 162.3595
26.000977 72.855 162.4629
26.367188 73.282 158.9922
26.733398 72.929 153.9324
27.099609 72.450 153.9763
27.465820 72.989 153.0097
27.832031 73.514 147.6706
28.198242 73.759 144.4756
28.564453 74.257 140.9910
28.930664 74.337 132.3663
29.296875 73.203 122.3932
29.663086 71.042 123.8661
30.029297 71.876 140.5129
30.395508 74.815 133.2601
30.761719 74.856 109.6788
31.127930 70.758 93.2850
31.494141 68.101 122.7115
31.860352 71.499 123.7299
32.226562 71.644 113.3645
32.592773 71.316 115.7552
32.958984 71.758 114.5938
33.325195 71.266 113.4961
33.691406 71.802 115.7180
34.057617 72.592 108.5402
34.423828 72.415 102.9521
34.790039 72.908 102.0862
35.156250 73.581 96.4219
35.522461 73.540 91.4815
35.888672 73.716 87.2310
36.254883 73.607 77.8192
36.621094 72.740 69.4012
36.987305 72.052 65.8809
37.353516 71.508 64.4175
37.719727 70.892 67.1035
38.085938 70.536 68.5487
38.452148 69.341 67.3255
38.818359 68.288 72.3636
39.184570 68.725 73.4589
39.550781 68.618 70.2034
39.916992 68.423 72.2183
40.283203 68.844 68.5771
40.649414 68.287 57.5958
41.015625 67.067 52.2602
41.381836 66.713 53.5522
41.748047 65.916 53.2235
42.114258 63.290 61.3289
42.480469 62.173 79.9662
42.846680 62.238 78.0974
43.212891 60.978 75.0774
43.579102 62.607 93.8081
43.945312 66.477 98.0054
