* Measurement data measured by REW V5.40 beta 121
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 12, 2026, 3:27:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Trace Arithmetic A times B A = L 120.Rscreen.orig B = FLX 
* Measurement: L.Filtered
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 62.190 42.8316
15.380859 68.072 1.2219
15.747070 69.943 -29.7129
16.113281 70.111 -36.1985
16.479492 71.242 -31.2715
16.845703 72.460 -37.7323
17.211914 72.018 -52.3616
17.578125 72.084 -60.2177
17.944336 73.666 -70.8582
18.310547 73.571 -77.4263
18.676758 74.058 -75.5791
19.042969 74.438 -93.2846
19.409180 73.129 -111.8374
19.775391 75.412 -110.3212
20.141602 79.111 -125.3833
20.507812 78.658 -145.5716
20.874023 73.891 -144.5353
21.240234 73.148 -118.9711
21.606445 73.727 -129.0075
21.972656 73.230 -139.7687
22.338867 74.406 -145.4789
22.705078 75.101 -153.4048
23.071289 75.170 -156.2639
23.437500 75.821 -162.7044
23.803711 75.920 -174.4153
24.169922 75.415 179.0095
24.536133 75.224 176.5487
24.902344 74.871 170.5781
25.268555 73.815 162.6756
25.634766 72.606 159.0220
26.000977 72.561 160.5401
26.367188 73.001 155.9855
26.733398 71.834 149.4377
27.099609 70.511 153.5305
27.465820 71.296 153.9738
27.832031 71.644 149.4545
28.198242 72.172 152.9910
28.564453 73.298 149.7045
28.930664 72.598 136.8012
29.296875 69.158 125.9299
29.663086 64.437 158.5612
30.029297 71.931 -177.4770
30.395508 76.205 154.6483
30.761719 75.359 115.5617
31.127930 65.984 77.8134
31.494141 67.506 -166.9823
31.860352 72.754 160.0403
32.226562 72.013 147.1658
32.592773 72.859 155.2070
32.958984 74.141 149.0887
33.325195 74.078 145.0996
33.691406 75.113 141.0619
34.057617 75.637 129.9471
34.423828 75.397 125.6124
34.790039 76.239 123.1966
35.156250 76.892 114.0395
35.522461 76.984 106.6030
35.888672 77.367 99.4916
36.254883 77.160 89.0932
36.621094 76.080 81.7995
36.987305 75.313 78.6448
37.353516 74.919 75.3451
37.719727 74.590 74.3854
38.085938 74.295 73.6954
38.452148 73.197 73.0800
38.818359 71.878 77.1761
39.184570 71.385 78.6162
39.550781 70.815 75.3393
39.916992 70.302 74.1718
40.283203 70.075 72.7227
40.649414 69.407 71.0182
41.015625 68.787 72.7561
41.381836 68.706 73.9933
41.748047 68.396 75.4390
42.114258 68.064 81.1827
42.480469 68.175 86.7902
42.846680 68.455 88.7867
