* Measurement data measured by REW V5.40 beta 121
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 12, 2026, 3:27:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R 120.Rscreen.orig B = FRX 
* Measurement: R.Filtered
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 62.006 38.0386
15.380859 68.767 -0.5958
15.747070 69.034 -23.1713
16.113281 69.964 -19.1667
16.479492 72.010 -32.4148
16.845703 72.111 -45.6852
17.211914 72.691 -53.8375
17.578125 73.064 -64.2847
17.944336 73.231 -71.6156
18.310547 73.878 -83.0867
18.676758 73.495 -100.0878
19.042969 72.145 -105.2450
19.409180 73.242 -103.5046
19.775391 74.122 -114.6783
20.141602 73.378 -121.4266
20.507812 73.489 -123.6597
20.874023 73.540 -134.7270
21.240234 72.431 -141.1904
21.606445 72.956 -139.0485
21.972656 74.120 -146.5876
22.338867 74.033 -152.8780
22.705078 74.218 -153.8889
23.071289 74.650 -158.9487
23.437500 74.689 -165.7141
23.803711 74.842 -173.1449
24.169922 74.694 177.7579
24.536133 74.031 173.0573
24.902344 73.810 172.4402
25.268555 73.752 169.0684
25.634766 73.303 165.4394
26.000977 73.148 164.2601
26.367188 73.576 161.8060
26.733398 73.939 157.4583
27.099609 74.034 154.2736
27.465820 74.406 152.3358
27.832031 75.057 146.4664
28.198242 75.216 138.4881
28.564453 75.265 134.0533
28.930664 75.815 129.3057
29.296875 75.963 120.7782
29.663086 75.325 114.5136
30.029297 74.933 112.2420
30.395508 74.842 108.0038
30.761719 74.430 103.1295
31.127930 73.996 99.3724
31.494141 73.680 95.1635
31.860352 73.569 91.1048
32.226562 73.741 86.2390
32.592773 73.715 80.5997
32.958984 73.199 75.4525
33.325195 72.064 72.1333
33.691406 71.101 72.9231
34.057617 71.216 71.1508
34.423828 71.358 65.1160
34.790039 71.218 62.1453
35.156250 71.079 60.1942
35.522461 70.257 57.0144
35.888672 69.362 54.9729
36.254883 69.180 48.4812
36.621094 68.963 40.2449
36.987305 68.490 36.8918
37.353516 67.270 37.2029
37.719727 65.197 45.1533
38.085938 64.245 51.9711
38.452148 62.882 48.1319
38.818359 62.431 57.9494
39.184570 65.098 62.7753
39.550781 65.844 61.0734
39.916992 66.043 69.0274
40.283203 67.483 62.9859
40.649414 67.672 41.1291
41.015625 66.698 25.8136
41.381836 66.096 25.4102
41.748047 65.177 20.0123
42.114258 60.134 3.5254
42.480469 49.699 -5.5664
42.846680 53.825 -13.4675
43.212891 57.430 -50.8129
43.579102 47.901 -175.9692
43.945312 62.962 98.3596
44.311523 65.340 79.8698
44.677734 64.911 81.0950
45.043945 65.578 78.9800
45.410156 66.084 75.4936
45.776367 68.625 77.3940
46.142578 71.301 67.1237
46.508789 72.487 53.6903
46.875000 73.789 38.7380
47.241211 74.892 17.9053
47.607422 74.622 0.4831
47.973633 74.283 -7.5568
48.339844 74.918 -22.3236
48.706055 74.839 -44.2997
49.072266 74.369 -56.8505
49.438477 74.888 -64.1929
49.804688 74.845 -77.1110
50.170898 74.532 -89.1435
50.537109 75.466 -105.0035
50.903320 75.272 -121.5834
51.269531 73.816 -114.8159
51.635742 76.070 -109.8608
52.001953 76.703 -136.5408
52.368164 74.815 -172.8757
52.734375 72.979 167.6027
53.100586 73.620 162.6354
53.466797 73.439 151.2241
53.833008 71.448 145.0850
54.199219 70.575 140.0198
54.565430 69.768 128.1458
54.931641 68.575 127.8611
55.297852 68.645 130.1643
55.664062 67.500 125.8248
56.030273 66.060 127.3405
56.396484 65.942 124.3530
56.762695 65.314 124.2310
57.128906 65.799 129.8472
57.495117 65.391 123.3262
57.861328 62.419 120.4229
58.227539 60.873 128.3657
58.593750 60.272 131.3491
58.959961 60.412 151.2310
59.326172 62.332 165.7708
59.692383 63.566 -178.4421
60.058594 66.218 -172.6519
60.424805 67.584 179.9163
60.791016 68.551 177.7074
61.157227 70.568 175.4919
61.523438 72.057 170.8125
61.889648 73.336 168.9336
62.255859 74.831 163.2571
62.622070 75.768 154.1169
62.988281 76.428 145.3136
63.354492 76.910 134.7925
63.720703 76.793 123.7134
64.086914 76.392 115.5236
64.453125 76.162 109.3475
64.819336 75.930 104.3623
65.185547 75.726 100.7859
65.551758 75.553 96.6050
65.917969 75.272 92.0349
66.284180 75.111 88.0098
66.650391 74.999 83.2878
67.016602 74.572 78.8318
67.382812 73.944 75.4067
67.749023 73.089 71.9695
68.115234 72.062 71.8214
68.481445 71.812 75.3076
68.847656 72.090 75.4183
69.213867 71.962 74.3398
69.580078 71.902 74.3809
69.946289 71.962 71.9819
70.312500 71.740 69.1671
70.678711 71.518 67.7469
71.044922 71.201 65.8962
71.411133 70.659 64.7712
71.777344 70.177 63.9275
72.143555 69.618 64.0570
72.509766 69.409 66.4645
72.875977 69.207 66.0525
73.242188 68.195 66.9446
73.608398 67.517 71.7347
73.974609 67.238 73.5952
74.340820 67.032 78.0161
74.707031 67.527 83.2919
75.073242 67.777 90.3003
75.439453 69.061 100.4150
75.805664 70.692 99.7336
76.171875 71.162 96.2190
76.538086 71.740 97.0520
76.904297 72.843 95.1671
77.270508 73.459 91.3127
77.636719 73.894 89.2605
78.002930 74.462 86.0903
78.369141 74.867 81.7083
78.735352 75.317 77.9695
79.101562 75.946 73.2939
79.467773 76.483 67.1714
79.833984 76.889 60.1729
80.200195 77.093 51.7542
80.566406 76.906 42.7457
80.932617 76.384 34.7067
81.298828 75.675 27.7371
81.665039 74.774 21.9814
82.031250 73.827 18.2225
82.397461 72.966 15.4492
82.763672 72.025 13.3141
83.129883 71.068 12.8773
83.496094 70.276 13.3987
83.862305 69.611 14.2122
84.228516 69.085 14.8104
84.594727 68.451 15.0154
84.960938 67.840 17.5432
85.327148 67.677 19.9208
85.693359 67.223 20.9813
86.059570 66.617 26.6064
86.425781 66.696 31.3322
86.791992 66.353 31.7141
87.158203 66.162 34.9310
87.524414 67.119 32.8779
87.890625 67.511 25.3816
88.256836 67.350 24.4520
88.623047 68.059 25.5873
88.989258 68.521 19.0201
89.355469 67.944 9.5051
89.721680 66.911 -0.7606
90.087891 65.480 -13.9744
90.454102 63.116 -31.1339
90.820312 59.125 -56.6680
91.186523 54.248 -111.8346
91.552734 57.533 -178.8621
91.918945 62.719 150.6102
92.285156 66.004 130.0635
92.651367 67.827 116.4647
93.017578 69.337 107.1417
93.383789 70.578 95.6722
93.750000 71.043 83.2513
94.116211 70.935 73.5562
94.482422 70.583 67.3202
94.848633 70.316 64.1554
95.214844 70.411 59.8817
95.581055 70.151 52.9033
95.947266 69.382 50.4073
96.313477 69.266 53.2548
96.679688 69.560 52.8971
97.045898 69.347 50.5973
97.412109 69.043 49.1139
97.778320 68.992 46.9963
98.144531 69.000 44.3916
98.510742 68.805 42.6849
98.876953 68.478 42.5291
99.243164 68.164 40.9540
99.609375 67.535 37.8197
99.975586 66.989 37.5695
100.341797 66.936 37.2072
100.708008 66.321 36.4039
101.074219 65.514 40.6642
101.440430 65.223 42.8286
101.806641 64.577 44.7169
102.172852 64.915 51.7716
102.539062 65.608 53.4202
102.905273 65.098 60.9089
103.271484 66.251 73.5886
103.637695 67.562 69.0343
104.003906 67.068 59.8766
104.370117 66.508 58.3239
104.736328 67.061 57.1372
105.102539 67.196 54.3477
105.468750 66.928 55.9286
105.834961 66.940 58.2103
106.201172 66.954 58.8453
106.567383 67.095 59.7859
106.933594 67.457 60.3136
107.299805 67.776 60.2848
107.666016 67.995 59.8306
108.032227 68.092 58.6818
108.398438 68.117 57.4606
108.764648 68.129 56.6067
109.130859 68.112 56.5887
109.497070 68.111 57.5286
109.863281 68.213 58.8878
110.229492 68.455 59.7163
110.595703 68.754 59.4689
110.961914 69.030 58.5957
111.328125 69.324 57.0781
111.694336 69.520 54.6786
112.060547 69.560 52.7090
112.426758 69.579 51.4618
112.792969 69.491 50.1869
113.159180 69.226 49.8895
113.525391 69.119 50.7706
113.891602 69.272 50.9591
114.257812 69.505 50.5870
114.624023 69.757 50.4003
114.990234 69.985 50.4882
115.356445 70.255 50.4835
115.722656 70.593 48.9861
116.088867 70.817 46.0725
116.455078 70.951 43.2286
116.821289 71.043 40.2406
117.187500 70.933 37.1099
117.553711 70.680 34.7167
117.919922 70.451 32.4371
118.286133 70.143 30.0789
118.652344 69.794 28.9583
119.018555 69.529 28.4998
119.384766 69.223 28.3291
119.750977 68.981 29.3242
120.117188 68.980 30.2267
120.483398 68.995 30.2407
120.849609 68.989 30.4976
121.215820 69.088 30.3168
121.582031 69.190 28.9506
121.948242 69.220 27.0167
122.314453 69.184 24.8899
122.680664 69.028 22.5713
123.046875 68.718 20.1385
123.413086 68.245 17.9302
123.779297 67.722 16.8334
124.145508 67.263 16.5879
124.511719 66.704 17.0121
124.877930 66.039 19.2260
125.244141 65.561 22.2631
125.610352 65.181 24.5193
125.976562 64.925 28.0199
126.342773 65.142 32.1296
126.708984 65.451 34.4994
127.075195 65.495 37.3541
127.441406 65.715 41.2073
127.807617 66.154 42.9816
128.173828 66.545 43.5643
128.540039 66.994 44.0400
128.906250 67.377 43.8486
129.272461 67.655 44.1731
129.638672 68.166 43.7959
130.004883 68.644 40.4977
130.371094 68.805 37.1168
130.737305 68.973 35.0195
131.103516 69.077 31.9054
131.469727 68.795 28.9465
131.835938 68.513 27.7245
132.202148 68.405 25.8055
132.568359 68.129 23.9513
132.934570 67.899 24.2360
133.300781 67.893 24.6121
133.666992 67.872 24.5038
134.033203 67.952 24.5250
134.399414 68.116 23.2910
134.765625 68.166 21.3195
135.131836 68.231 18.9812
135.498047 68.306 14.7319
135.864258 68.111 8.6925
136.230469 67.569 2.9006
136.596680 66.826 -2.1743
136.962891 65.758 -8.0432
137.329102 63.890 -13.9607
137.695312 61.095 -14.9852
138.061523 57.843 -6.2371
138.427734 55.082 19.7079
138.793945 56.275 53.1951
139.160156 58.930 67.8324
139.526367 61.048 74.6722
139.892578 63.010 76.7330
140.258789 64.602 75.3700
140.625000 65.886 73.2230
140.991211 66.930 70.9937
141.357422 67.833 68.8195
141.723633 68.618 65.2120
142.089844 69.038 60.4058
142.456055 69.229 56.5820
142.822266 69.476 52.8267
143.188477 69.535 48.4708
143.554688 69.441 45.5751
143.920898 69.446 43.2551
144.287109 69.311 40.8436
144.653320 69.081 40.2991
145.019531 69.074 40.5325
145.385742 69.171 40.0070
145.751953 69.322 38.9762
146.118164 69.413 37.4913
146.484375 69.449 37.0619
146.850586 69.650 36.4813
147.216797 69.668 34.3960
147.583008 69.487 34.0105
147.949219 69.719 34.3901
148.315430 70.036 32.2339
148.681641 70.116 30.0796
149.047852 70.268 28.1381
149.414062 70.318 24.8409
149.780273 70.150 22.1477
150.146484 70.054 20.3135
150.512695 69.952 17.9791
150.878906 69.752 15.5328
151.245117 69.450 12.7642
151.611328 68.971 10.7528
151.977539 68.542 10.3193
152.343750 68.125 9.8807
152.709961 67.521 10.2504
153.076172 67.014 11.4211
153.442383 66.545 12.5093
153.808594 66.331 15.9945
154.174805 66.529 19.3224
154.541016 66.412 24.5289
154.907227 66.973 33.8542
155.273438 68.070 34.6730
155.639648 67.951 30.2023
156.005859 67.426 31.2312
156.372070 67.978 32.9945
156.738281 68.623 30.8629
157.104492 69.011 30.0763
157.470703 69.476 29.7770
157.836914 69.788 28.9734
158.203125 70.156 28.3610
158.569336 70.591 25.7496
158.935547 70.781 22.4067
159.301758 70.987 20.0892
159.667969 71.326 17.0851
160.034180 71.527 13.2760
160.400391 71.556 9.9351
160.766602 71.498 7.2841
161.132812 71.459 4.9517
161.499023 71.432 1.9539
161.865234 71.311 -0.9482
162.231445 71.291 -3.0332
162.597656 71.348 -5.9520
162.963867 71.185 -8.9572
163.330078 71.023 -10.7186
163.696289 70.958 -13.1512
164.062500 70.729 -15.6505
164.428711 70.556 -16.9873
164.794922 70.479 -19.0186
165.161133 70.281 -21.1682
165.527344 70.176 -22.9326
165.893555 70.047 -25.9209
166.259766 69.679 -28.3989
