* Measurement data measured by REW V5.40 beta 132
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 13, 2026, 4:11:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = X801 B = LFilter8 
* Measurement: FLX
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 -6.734 -162.9410
15.380859 -1.658 166.5944
15.747070 -1.081 146.1184
16.113281 -0.757 141.4059
16.479492 -0.101 135.1414
16.845703 -0.006 131.3719
17.211914 0.283 128.3405
17.578125 0.302 124.9890
17.944336 0.332 122.2034
18.310547 0.222 118.5384
18.676758 -0.017 115.2566
19.042969 -0.311 111.9430
19.409180 -0.656 108.9058
19.775391 -0.989 106.1891
20.141602 -1.263 103.7260
20.507812 -1.482 101.3056
20.874023 -1.649 99.0927
21.240234 -1.772 97.0008
21.606445 -1.869 95.1826
21.972656 -1.944 93.6037
22.338867 -2.021 92.2751
22.705078 -2.118 91.2590
23.071289 -2.232 90.6684
23.437500 -2.348 90.4598
23.803711 -2.453 90.5538
24.169922 -2.539 90.7725
24.536133 -2.613 91.0180
24.902344 -2.676 91.2389
25.268555 -2.720 91.4226
25.634766 -2.742 91.4746
26.000977 -2.749 91.3736
26.367188 -2.746 91.1534
26.733398 -2.736 90.9118
27.099609 -2.713 90.7617
27.465820 -2.660 90.7591
27.832031 -2.572 90.8701
28.198242 -2.445 91.1300
28.564453 -2.265 91.4436
28.930664 -2.041 91.6778
29.296875 -1.785 91.7787
29.663086 -1.502 91.6608
30.029297 -1.212 91.2323
30.395508 -0.931 90.5045
30.761719 -0.666 89.4583
31.127930 -0.429 88.1104
31.494141 -0.224 86.4383
31.860352 -0.081 84.4213
32.226562 -0.026 82.3703
32.592773 -0.024 80.6090
32.958984 -0.032 79.0990
33.325195 -0.038 77.7432
33.691406 -0.040 76.4993
34.057617 -0.039 75.3412
34.423828 -0.034 74.2651
34.790039 -0.026 73.2625
35.156250 -0.017 72.3281
35.522461 -0.009 71.4581
35.888672 -0.001 70.6420
36.254883 0.005 69.8737
36.621094 0.008 69.1427
36.987305 0.009 68.4408
37.353516 0.007 67.7595
37.719727 0.004 67.0924
38.085938 -0.001 66.4336
38.452148 -0.007 65.7810
38.818359 -0.012 65.1324
39.184570 -0.017 64.4893
39.550781 -0.020 63.8539
39.916992 -0.022 63.2283
40.283203 -0.022 62.6162
40.649414 -0.021 62.0196
41.015625 -0.018 61.4408
41.381836 -0.015 60.8810
41.748047 -0.012 60.3400
42.114258 -0.009 59.8159
42.480469 -0.007 59.3083
42.846680 -0.005 58.8133
43.212891 -0.004 58.3289
43.579102 -0.004 57.8523
43.945312 -0.005 57.3813
44.311523 -0.006 56.9139
44.677734 -0.008 56.4494
45.043945 -0.009 55.9874
45.410156 -0.011 55.5276
45.776367 -0.012 55.0712
46.142578 -0.013 54.6185
46.508789 -0.013 54.1706
46.875000 -0.013 53.7279
47.241211 -0.012 53.2912
47.607422 -0.012 52.8603
47.973633 -0.011 52.4349
48.339844 -0.011 52.0147
48.706055 -0.010 51.5986
49.072266 -0.010 51.1858
49.438477 -0.010 50.7755
49.804688 -0.010 50.3667
50.170898 -0.010 49.9590
50.537109 -0.010 49.5521
50.903320 -0.010 49.1451
51.269531 -0.010 48.7390
51.635742 -0.010 48.3325
52.001953 -0.010 47.9268
52.368164 -0.010 47.5208
52.734375 -0.010 47.1148
53.100586 -0.009 46.7081
53.466797 -0.009 46.2993
53.833008 -0.009 45.8888
54.199219 -0.009 45.4729
54.565430 -0.010 45.0525
54.931641 -0.010 44.6222
55.297852 -0.011 44.1806
55.664062 -0.013 43.7212
56.030273 -0.017 43.2388
56.396484 -0.026 42.7405
56.762695 -0.043 42.2491
57.128906 -0.065 41.8028
57.495117 -0.088 41.4136
57.861328 -0.107 41.0736
58.227539 -0.120 40.7696
58.593750 -0.124 40.4796
58.959961 -0.120 40.1872
59.326172 -0.106 39.8681
59.692383 -0.084 39.4877
60.058594 -0.058 39.0226
60.424805 -0.034 38.4619
60.791016 -0.020 37.8336
61.157227 -0.014 37.1831
61.523438 -0.011 36.5195
61.889648 -0.011 35.8334
62.255859 -0.012 35.1147
62.622070 -0.012 34.3430
62.988281 -0.014 33.4907
63.354492 -0.021 32.5252
63.720703 -0.040 31.4030
64.086914 -0.089 30.1081
64.453125 -0.191 28.7223
64.819336 -0.358 27.4684
65.185547 -0.571 26.5828
65.551758 -0.794 26.1335
65.917969 -1.001 26.0533
66.284180 -1.178 26.2296
66.650391 -1.319 26.5581
67.016602 -1.428 26.9630
67.382812 -1.505 27.3885
67.749023 -1.554 27.7929
68.115234 -1.577 28.1424
68.481445 -1.580 28.4125
68.847656 -1.563 28.5844
69.213867 -1.532 28.6410
69.580078 -1.489 28.5675
69.946289 -1.439 28.3528
70.312500 -1.384 27.9908
70.678711 -1.329 27.4778
71.044922 -1.278 26.8132
71.411133 -1.235 26.0013
71.777344 -1.204 25.0518
72.143555 -1.188 23.9775
72.509766 -1.191 22.7968
72.875977 -1.213 21.5296
73.242188 -1.257 20.1983
73.608398 -1.322 18.8226
73.974609 -1.408 17.4189
74.340820 -1.513 15.9948
74.707031 -1.637 14.5464
75.073242 -1.780 13.0563
75.439453 -1.945 11.4935
75.805664 -2.144 9.8452
76.171875 -2.392 8.1455
76.538086 -2.701 6.5219
76.904297 -3.069 5.1444
77.270508 -3.480 4.1360
77.636719 -3.912 3.5461
78.002930 -4.346 3.3510
78.369141 -4.771 3.4996
78.735352 -5.180 3.9345
79.101562 -5.570 4.6066
79.467773 -5.938 5.4756
79.833984 -6.284 6.5085
80.200195 -6.608 7.6794
80.566406 -6.910 8.9664
80.932617 -7.191 10.3516
81.298828 -7.450 11.8191
81.665039 -7.689 13.3554
82.031250 -7.908 14.9479
82.397461 -8.107 16.5858
82.763672 -8.288 18.2590
83.129883 -8.449 19.9585
83.496094 -8.593 21.6761
83.862305 -8.720 23.4043
84.228516 -8.830 25.1360
84.594727 -8.923 26.8647
84.960938 -9.001 28.5844
85.327148 -9.064 30.2899
85.693359 -9.112 31.9761
86.059570 -9.145 33.6389
86.425781 -9.165 35.2739
86.791992 -9.172 36.8771
87.158203 -9.166 38.4445
87.524414 -9.147 39.9721
87.890625 -9.117 41.4568
88.256836 -9.076 42.8953
88.623047 -9.025 44.2844
88.989258 -8.963 45.6208
89.355469 -8.893 46.9009
89.721680 -8.813 48.1210
90.087891 -8.726 49.2777
90.454102 -8.631 50.3680
90.820312 -8.529 51.3890
91.186523 -8.421 52.3383
91.552734 -8.308 53.2132
91.918945 -8.190 54.0110
92.285156 -8.069 54.7296
92.651367 -7.944 55.3669
93.017578 -7.818 55.9221
93.383789 -7.690 56.3944
93.750000 -7.562 56.7835
94.116211 -7.435 57.0900
94.482422 -7.311 57.3139
94.848633 -7.189 57.4566
95.214844 -7.071 57.5195
95.581055 -6.959 57.5052
95.947266 -6.853 57.4174
96.313477 -6.754 57.2603
96.679688 -6.664 57.0391
97.045898 -6.583 56.7594
97.412109 -6.511 56.4273
97.778320 -6.450 56.0495
98.144531 -6.400 55.6329
98.510742 -6.362 55.1860
98.876953 -6.335 54.7167
99.243164 -6.320 54.2336
99.609375 -6.317 53.7449
99.975586 -6.326 53.2578
100.341797 -6.345 52.7795
100.708008 -6.375 52.3161
101.074219 -6.416 51.8732
101.440430 -6.466 51.4565
101.806641 -6.525 51.0704
102.172852 -6.593 50.7195
102.539062 -6.668 50.4072
102.905273 -6.750 50.1358
103.271484 -6.839 49.9079
103.637695 -6.933 49.7247
104.003906 -7.032 49.5873
104.370117 -7.135 49.4969
104.736328 -7.242 49.4547
105.102539 -7.352 49.4612
105.468750 -7.464 49.5174
105.834961 -7.579 49.6228
106.201172 -7.695 49.7776
106.567383 -7.812 49.9810
106.933594 -7.929 50.2322
107.299805 -8.047 50.5306
107.666016 -8.164 50.8756
108.032227 -8.280 51.2659
108.398438 -8.395 51.7013
108.764648 -8.508 52.1800
109.130859 -8.619 52.7002
109.497070 -8.726 53.2606
109.863281 -8.831 53.8577
110.229492 -8.932 54.4904
110.595703 -9.030 55.1552
110.961914 -9.123 55.8505
111.328125 -9.212 56.5729
111.694336 -9.297 57.3200
112.060547 -9.377 58.0892
112.426758 -9.453 58.8769
112.792969 -9.525 59.6817
113.159180 -9.593 60.5025
113.525391 -9.657 61.3375
113.891602 -9.716 62.1873
114.257812 -9.771 63.0511
114.624023 -9.822 63.9260
114.990234 -9.868 64.8113
115.356445 -9.910 65.7035
115.722656 -9.946 66.5993
116.088867 -9.978 67.4972
116.455078 -10.004 68.3931
116.821289 -10.027 69.2857
117.187500 -10.045 70.1733
117.553711 -10.059 71.0539
117.919922 -10.070 71.9273
118.286133 -10.077 72.7914
118.652344 -10.080 73.6464
119.018555 -10.081 74.4905
119.384766 -10.078 75.3233
119.750977 -10.073 76.1444
120.117188 -10.065 76.9522
120.483398 -10.056 77.7480
120.849609 -10.044 78.5305
121.215820 -10.030 79.3004
121.582031 -10.015 80.0581
121.948242 -9.998 80.8032
122.314453 -9.980 81.5367
122.680664 -9.961 82.2579
123.046875 -9.940 82.9677
123.413086 -9.918 83.6658
123.779297 -9.895 84.3525
124.145508 -9.872 85.0286
124.511719 -9.847 85.6937
124.877930 -9.822 86.3490
125.244141 -9.797 86.9943
125.610352 -9.771 87.6299
125.976562 -9.744 88.2561
126.342773 -9.717 88.8724
126.708984 -9.690 89.4796
127.075195 -9.662 90.0770
127.441406 -9.634 90.6651
127.807617 -9.606 91.2444
128.173828 -9.578 91.8146
128.540039 -9.550 92.3770
128.906250 -9.522 92.9315
129.272461 -9.494 93.4787
129.638672 -9.467 94.0193
130.004883 -9.439 94.5529
130.371094 -9.412 95.0808
130.737305 -9.385 95.6026
131.103516 -9.359 96.1190
131.469727 -9.334 96.6312
131.835938 -9.309 97.1390
132.202148 -9.285 97.6436
132.568359 -9.261 98.1458
132.934570 -9.238 98.6460
133.300781 -9.216 99.1450
133.666992 -9.194 99.6437
134.033203 -9.173 100.1426
134.399414 -9.152 100.6423
134.765625 -9.132 101.1438
135.131836 -9.113 101.6473
135.498047 -9.093 102.1541
135.864258 -9.074 102.6646
136.230469 -9.056 103.1790
136.596680 -9.037 103.6988
136.962891 -9.019 104.2235
137.329102 -9.000 104.7533
137.695312 -8.982 105.2893
138.061523 -8.962 105.8302
138.427734 -8.943 106.3766
138.793945 -8.923 106.9289
139.160156 -8.903 107.4857
139.526367 -8.882 108.0481
139.892578 -8.860 108.6155
140.258789 -8.837 109.1870
140.625000 -8.814 109.7635
140.991211 -8.789 110.3438
141.357422 -8.763 110.9274
141.723633 -8.736 111.5146
142.089844 -8.707 112.1039
142.456055 -8.677 112.6950
142.822266 -8.646 113.2876
143.188477 -8.613 113.8806
143.554688 -8.580 114.4736
143.920898 -8.544 115.0660
144.287109 -8.508 115.6571
144.653320 -8.470 116.2463
145.019531 -8.430 116.8331
145.385742 -8.390 117.4171
145.751953 -8.348 117.9972
146.118164 -8.305 118.5735
146.484375 -8.261 119.1454
146.850586 -8.215 119.7119
147.216797 -8.169 120.2735
147.583008 -8.121 120.8299
147.949219 -8.073 121.3800
148.315430 -8.024 121.9250
148.681641 -7.975 122.4643
149.047852 -7.924 122.9974
149.414062 -7.874 123.5254
149.780273 -7.823 124.0480
150.146484 -7.771 124.5648
150.512695 -7.719 125.0770
150.878906 -7.667 125.5845
151.245117 -7.615 126.0873
151.611328 -7.562 126.5864
151.977539 -7.510 127.0823
152.343750 -7.457 127.5752
152.709961 -7.405 128.0659
153.076172 -7.352 128.5553
153.442383 -7.299 129.0439
153.808594 -7.247 129.5321
154.174805 -7.194 130.0212
154.541016 -7.141 130.5120
154.907227 -7.088 131.0044
155.273438 -7.035 131.5001
155.639648 -6.982 132.0005
156.005859 -6.928 132.5044
156.372070 -6.873 133.0140
156.738281 -6.818 133.5320
157.104492 -6.762 134.0548
157.470703 -6.704 134.5837
157.836914 -6.645 135.1225
158.203125 -6.583 135.6661
158.569336 -6.519 136.2114
