* Measurement data measured by REW V5.40 beta 132
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 13, 2026, 4:12:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = X801 B = RFilter8 
* Measurement: FRX
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 -6.735 -163.2255
15.380859 -1.658 166.3047
15.747070 -1.081 145.8222
16.113281 -0.757 141.1027
16.479492 -0.100 134.8324
16.845703 -0.005 131.0554
17.211914 0.283 128.0173
17.578125 0.302 124.6582
17.944336 0.332 121.8646
18.310547 0.222 118.1910
18.676758 -0.018 114.9002
19.042969 -0.311 111.5773
19.409180 -0.656 108.5305
19.775391 -0.990 105.8042
20.141602 -1.263 103.3315
20.507812 -1.482 100.9017
20.874023 -1.649 98.6799
21.240234 -1.771 96.5795
21.606445 -1.869 94.7530
21.972656 -1.943 93.1660
22.338867 -2.021 91.8294
22.705078 -2.118 90.8051
23.071289 -2.232 90.2061
23.437500 -2.348 89.9887
23.803711 -2.453 90.0734
24.169922 -2.539 90.2823
24.536133 -2.613 90.5175
24.902344 -2.676 90.7277
25.268555 -2.721 90.9002
25.634766 -2.743 90.9407
26.000977 -2.749 90.8281
26.367188 -2.746 90.5963
26.733398 -2.736 90.3431
27.099609 -2.713 90.1816
27.465820 -2.660 90.1679
27.832031 -2.572 90.2679
28.198242 -2.445 90.5171
28.564453 -2.264 90.8199
28.930664 -2.040 91.0432
29.296875 -1.784 91.1331
29.663086 -1.502 91.0038
30.029297 -1.212 90.5635
30.395508 -0.930 89.8235
30.761719 -0.666 88.7645
31.127930 -0.429 87.4033
31.494141 -0.224 85.7175
31.860352 -0.081 83.6864
32.226562 -0.027 81.6209
32.592773 -0.024 79.8450
32.958984 -0.032 78.3202
33.325195 -0.038 76.9495
33.691406 -0.041 75.6907
34.057617 -0.039 74.5176
34.423828 -0.034 73.4265
34.790039 -0.026 72.4087
35.156250 -0.017 71.4590
35.522461 -0.008 70.5733
35.888672 -0.001 69.7411
36.254883 0.005 68.9564
36.621094 0.008 68.2085
36.987305 0.009 67.4890
37.353516 0.007 66.7896
37.719727 0.004 66.1039
38.085938 -0.001 65.4259
38.452148 -0.007 64.7537
38.818359 -0.012 64.0850
39.184570 -0.017 63.4214
39.550781 -0.020 62.7651
39.916992 -0.022 62.1183
40.283203 -0.022 61.4846
40.649414 -0.020 60.8659
41.015625 -0.018 60.2647
41.381836 -0.015 59.6820
41.748047 -0.012 59.1175
42.114258 -0.009 58.5693
42.480469 -0.006 58.0370
42.846680 -0.005 57.5164
43.212891 -0.004 57.0058
43.579102 -0.004 56.5020
43.945312 -0.005 56.0030
44.311523 -0.006 55.5069
44.677734 -0.008 55.0126
45.043945 -0.010 54.5200
45.410156 -0.011 54.0288
45.776367 -0.012 53.5400
46.142578 -0.013 53.0539
46.508789 -0.013 52.5718
46.875000 -0.013 52.0939
47.241211 -0.012 51.6208
47.607422 -0.012 51.1523
47.973633 -0.011 50.6881
48.339844 -0.010 50.2278
48.706055 -0.010 49.7702
49.072266 -0.010 49.3144
49.438477 -0.010 48.8594
49.804688 -0.010 48.4045
50.170898 -0.010 47.9489
50.537109 -0.010 47.4922
50.903320 -0.010 47.0337
51.269531 -0.010 46.5740
51.635742 -0.010 46.1120
52.001953 -0.010 45.6487
52.368164 -0.010 45.1828
52.734375 -0.010 44.7146
53.100586 -0.009 44.2433
53.466797 -0.009 43.7676
53.833008 -0.009 43.2878
54.199219 -0.009 42.8006
54.565430 -0.010 42.3074
54.931641 -0.010 41.8042
55.297852 -0.011 41.2919
55.664062 -0.011 40.7680
56.030273 -0.012 40.2310
56.396484 -0.012 39.6816
56.762695 -0.012 39.1149
57.128906 -0.012 38.5332
57.495117 -0.011 37.9314
57.861328 -0.011 37.3067
58.227539 -0.010 36.6572
58.593750 -0.010 35.9722
58.959961 -0.011 35.2449
59.326172 -0.013 34.4621
59.692383 -0.021 33.6081
60.058594 -0.040 32.6919
60.424805 -0.074 31.7428
60.791016 -0.120 30.7940
61.157227 -0.177 29.8656
61.523438 -0.241 28.9547
61.889648 -0.311 28.0529
62.255859 -0.385 27.1554
62.622070 -0.462 26.2463
62.988281 -0.542 25.3008
63.354492 -0.628 24.2880
63.720703 -0.726 23.1632
64.086914 -0.853 21.9057
64.453125 -1.032 20.5900
64.819336 -1.274 19.4330
65.185547 -1.561 18.6718
65.551758 -1.858 18.3787
65.917969 -2.136 18.4878
66.284180 -2.381 18.8840
66.650391 -2.588 19.4579
67.016602 -2.758 20.1277
67.382812 -2.893 20.8317
67.749023 -2.996 21.5225
68.115234 -3.070 22.1609
68.481445 -3.120 22.7177
68.847656 -3.150 23.1704
69.213867 -3.163 23.4988
69.580078 -3.164 23.6854
69.946289 -3.157 23.7188
70.312500 -3.149 23.5934
70.678711 -3.143 23.3083
71.044922 -3.146 22.8673
71.411133 -3.162 22.2814
71.777344 -3.196 21.5684
72.143555 -3.253 20.7524
72.509766 -3.336 19.8638
72.875977 -3.448 18.9376
73.242188 -3.590 18.0122
73.608398 -3.762 17.1271
73.974609 -3.962 16.3203
74.340820 -4.190 15.6279
74.707031 -4.441 15.0814
75.073242 -4.710 14.7048
75.439453 -4.994 14.5166
75.805664 -5.287 14.5281
76.171875 -5.585 14.7430
76.538086 -5.882 15.1604
76.904297 -6.176 15.7748
77.270508 -6.461 16.5756
77.636719 -6.735 17.5500
78.002930 -6.995 18.6835
78.369141 -7.239 19.9602
78.735352 -7.465 21.3641
79.101562 -7.671 22.8792
79.467773 -7.857 24.4893
79.833984 -8.021 26.1790
80.200195 -8.162 27.9333
80.566406 -8.282 29.7387
80.932617 -8.378 31.5817
81.298828 -8.453 33.4500
81.665039 -8.504 35.3316
82.031250 -8.533 37.2147
82.397461 -8.541 39.0880
82.763672 -8.526 40.9408
83.129883 -8.490 42.7624
83.496094 -8.434 44.5424
83.862305 -8.357 46.2703
84.228516 -8.260 47.9359
84.594727 -8.144 49.5286
84.960938 -8.009 51.0376
85.327148 -7.857 52.4524
85.693359 -7.687 53.7621
86.059570 -7.501 54.9561
86.425781 -7.300 56.0231
86.791992 -7.085 56.9511
87.158203 -6.857 57.7285
87.524414 -6.620 58.3436
87.890625 -6.375 58.7863
88.256836 -6.125 59.0469
88.623047 -5.872 59.1176
88.989258 -5.620 58.9925
89.355469 -5.373 58.6682
89.721680 -5.135 58.1455
90.087891 -4.909 57.4296
90.454102 -4.700 56.5309
90.820312 -4.512 55.4644
91.186523 -4.347 54.2499
91.552734 -4.208 52.9103
91.918945 -4.097 51.4718
92.285156 -4.017 49.9621
92.651367 -3.965 48.4094
93.017578 -3.944 46.8414
93.383789 -3.951 45.2836
93.750000 -3.985 43.7586
94.116211 -4.044 42.2853
94.482422 -4.125 40.8782
94.848633 -4.226 39.5484
95.214844 -4.344 38.3029
95.581055 -4.477 37.1459
95.947266 -4.624 36.0794
96.313477 -4.781 35.1035
96.679688 -4.948 34.2168
97.045898 -5.123 33.4167
97.412109 -5.304 32.6999
97.778320 -5.491 32.0630
98.144531 -5.683 31.5021
98.510742 -5.880 31.0148
98.876953 -6.080 30.5985
99.243164 -6.283 30.2514
99.609375 -6.489 29.9720
99.975586 -6.698 29.7586
100.341797 -6.910 29.6098
100.708008 -7.123 29.5242
101.074219 -7.338 29.5010
101.440430 -7.555 29.5401
101.806641 -7.773 29.6413
102.172852 -7.993 29.8051
102.539062 -8.213 30.0319
102.905273 -8.434 30.3217
103.271484 -8.654 30.6748
103.637695 -8.874 31.0907
104.003906 -9.093 31.5692
104.370117 -9.311 32.1104
104.736328 -9.527 32.7139
105.102539 -9.741 33.3796
105.468750 -9.953 34.1072
105.834961 -10.162 34.8955
106.201172 -10.367 35.7435
106.567383 -10.568 36.6492
106.933594 -10.765 37.6110
107.299805 -10.958 38.6270
107.666016 -11.146 39.6956
108.032227 -11.329 40.8148
108.398438 -11.507 41.9833
108.764648 -11.678 43.1987
109.130859 -11.844 44.4589
109.497070 -12.003 45.7621
109.863281 -12.155 47.1053
110.229492 -12.301 48.4869
110.595703 -12.439 49.9049
110.961914 -12.570 51.3578
111.328125 -12.694 52.8439
111.694336 -12.810 54.3624
112.060547 -12.918 55.9098
112.426758 -13.018 57.4854
112.792969 -13.109 59.0851
113.159180 -13.192 60.7039
113.525391 -13.265 62.3395
113.891602 -13.330 63.9856
114.257812 -13.386 65.6391
114.624023 -13.434 67.2976
114.990234 -13.474 68.9582
115.356445 -13.505 70.6191
115.722656 -13.529 72.2782
116.088867 -13.545 73.9338
116.455078 -13.553 75.5838
116.821289 -13.553 77.2266
117.187500 -13.546 78.8609
117.553711 -13.531 80.4847
117.919922 -13.509 82.0972
118.286133 -13.481 83.6964
118.652344 -13.445 85.2811
119.018555 -13.402 86.8492
119.384766 -13.353 88.3992
119.750977 -13.297 89.9294
120.117188 -13.235 91.4373
120.483398 -13.168 92.9230
120.849609 -13.094 94.3837
121.215820 -13.015 95.8194
121.582031 -12.930 97.2284
121.948242 -12.840 98.6095
122.314453 -12.744 99.9626
122.680664 -12.644 101.2851
123.046875 -12.540 102.5779
123.413086 -12.431 103.8384
123.779297 -12.317 105.0668
124.145508 -12.200 106.2630
124.511719 -12.079 107.4249
124.877930 -11.955 108.5539
125.244141 -11.827 109.6481
125.610352 -11.697 110.7079
125.976562 -11.563 111.7327
126.342773 -11.427 112.7208
126.708984 -11.288 113.6735
127.075195 -11.147 114.5881
127.441406 -11.005 115.4657
127.807617 -10.860 116.3060
128.173828 -10.714 117.1076
128.540039 -10.566 117.8724
128.906250 -10.417 118.5981
129.272461 -10.268 119.2858
129.638672 -10.117 119.9354
130.004883 -9.967 120.5450
130.371094 -9.816 121.1169
130.737305 -9.664 121.6484
131.103516 -9.514 122.1402
131.469727 -9.364 122.5939
131.835938 -9.215 123.0060
132.202148 -9.067 123.3806
132.568359 -8.921 123.7156
132.934570 -8.777 124.0111
133.300781 -8.635 124.2706
133.666992 -8.495 124.4904
134.033203 -8.359 124.6747
134.399414 -8.226 124.8245
134.765625 -8.096 124.9378
135.131836 -7.970 125.0210
135.498047 -7.849 125.0730
135.864258 -7.732 125.0957
136.230469 -7.620 125.0946
136.596680 -7.514 125.0686
136.962891 -7.412 125.0223
137.329102 -7.317 124.9594
137.695312 -7.227 124.8804
138.061523 -7.143 124.7902
138.427734 -7.065 124.6917
138.793945 -6.992 124.5871
139.160156 -6.926 124.4805
139.526367 -6.866 124.3756
139.892578 -6.812 124.2745
140.258789 -6.763 124.1805
140.625000 -6.719 124.0983
140.991211 -6.681 124.0282
141.357422 -6.647 123.9735
141.723633 -6.618 123.9389
142.089844 -6.593 123.9224
142.456055 -6.572 123.9283
142.822266 -6.554 123.9595
143.188477 -6.540 124.0128
143.554688 -6.528 124.0934
143.920898 -6.518 124.2018
144.287109 -6.510 124.3345
144.653320 -6.504 124.4971
145.019531 -6.499 124.6874
145.385742 -6.494 124.9028
145.751953 -6.491 125.1477
146.118164 -6.486 125.4188
146.484375 -6.482 125.7140
146.850586 -6.478 126.0365
147.216797 -6.472 126.3825
147.583008 -6.465 126.7508
147.949219 -6.457 127.1433
148.315430 -6.447 127.5562
148.681641 -6.436 127.9888
149.047852 -6.423 128.4420
149.414062 -6.407 128.9123
149.780273 -6.390 129.3991
150.146484 -6.370 129.9028
150.512695 -6.348 130.4203
150.878906 -6.323 130.9508
151.245117 -6.296 131.4945
151.611328 -6.266 132.0488
151.977539 -6.233 132.6132
152.343750 -6.197 133.1873
152.709961 -6.158 133.7692
153.076172 -6.117 134.3585
153.442383 -6.072 134.9548
153.808594 -6.024 135.5563
154.174805 -5.973 136.1626
154.541016 -5.919 136.7736
154.907227 -5.861 137.3874
155.273438 -5.801 138.0039
155.639648 -5.737 138.6234
156.005859 -5.669 139.2432
156.372070 -5.598 139.8639
156.738281 -5.524 140.4862
157.104492 -5.445 141.1064
157.470703 -5.362 141.7239
157.836914 -5.276 142.3401
158.203125 -5.184 142.9506
158.569336 -5.088 143.5514
