* Measurement data measured by REW V5.40 beta 132
* Source: Vector average
* Format: Vector average
* Dated: Aug 11, 2026, 4:05:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Vector average of L 120.Rscreen.orig, R 120.Rscreen.orig
* Measurement: LR.orig
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.658 -156.6116
15.380859 70.159 -166.0781
15.747070 70.476 -172.5187
16.113281 70.693 -169.3967
16.479492 71.718 -166.8874
16.845703 72.277 -172.8901
17.211914 72.024 178.6616
17.578125 72.260 172.6950
17.944336 73.108 166.3114
18.310547 73.436 161.1002
18.676758 73.500 157.5806
19.042968 73.543 149.9665
19.409179 73.790 143.9364
19.775390 75.813 141.9613
20.141601 78.013 132.3486
20.507812 77.795 120.4557
20.874023 75.282 120.4238
21.240234 74.288 132.8148
21.606445 75.003 131.0260
21.972656 75.408 123.7421
22.338867 76.066 119.7055
22.705077 76.724 116.4146
23.071288 77.175 113.0568
23.437499 77.712 106.4716
23.803710 77.972 96.1448
24.169921 77.723 87.5798
24.536132 77.353 83.3376
24.902343 77.061 79.3731
25.268554 76.436 73.5399
25.634765 75.550 70.1530
26.000976 75.408 70.6602
26.367187 75.808 67.8748
26.733397 75.463 63.5573
27.099608 75.004 64.1960
27.465819 75.550 63.3892
27.832030 76.048 57.8272
28.198241 76.223 53.9837
28.564452 76.562 49.7225
28.930663 76.392 40.4400
29.296874 74.930 30.0678
29.663085 72.398 31.4732
30.029296 72.853 48.5044
30.395507 75.384 42.3561
30.761717 75.071 20.9573
31.127928 70.757 7.3903
31.494139 68.106 39.2491
31.860350 71.502 41.8978
32.226561 71.666 33.1046
32.592772 71.365 36.9693
32.958983 71.811 37.0991
33.325194 71.318 37.2232
33.691405 71.849 40.4911
34.057616 72.639 34.4002
34.423827 72.465 29.8698
34.790037 72.948 30.0112
35.156248 73.600 25.2371
35.522459 73.545 21.1028
35.888670 73.714 17.5889
36.254881 73.605 8.9731
36.621092 72.735 1.3335
36.987303 72.039 -1.4623
37.353514 71.491 -2.3219
37.719725 70.877 0.9723
38.085936 70.532 3.0660
38.452147 69.347 2.5703
38.818357 68.290 8.3152
39.184568 68.721 10.1152
39.550779 68.616 7.4387
39.916990 68.429 10.0926
40.283201 68.862 7.1647
40.649412 68.312 -3.0835
41.015623 67.087 -7.8724
41.381834 66.729 -6.1055
41.748045 65.948 -5.9949
42.114256 63.346 2.4835
42.480467 62.202 21.5349
42.846677 62.259 20.2971
43.212888 60.983 17.4425
43.579099 62.554 36.7717
43.945310 66.458 41.8010
