* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -28.0 dBFS, measurement signal peak level -15.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 4:21:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; L -12dBFS OKTO@-29dB mic - speakers 3.48m mic - front wall 4.34 MIC centered Screen panels prolong the 1.75 half wall LEFT Screen panels as traditional Foam panels moved back into the room Delay -0.0328 ms (-11 mm, -0.44 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.8 ppm
* Measurement: L.120.Rscreen.orig
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.981 -155.4597
15.380859 69.786 -164.6461
15.747070 70.902 -175.8418
16.113281 70.847 -178.2446
16.479492 71.367 -166.6584
16.845703 72.499 -168.9751
17.211914 71.658 179.5353
17.578125 71.717 174.5287
17.944336 73.338 166.3282
18.310547 73.323 163.8462
18.676758 73.981 169.5050
19.042968 74.630 155.0329
19.409179 73.756 139.3867
19.775390 76.459 143.7305
20.141601 80.426 130.9540
20.507812 80.143 112.5919
20.874023 75.477 115.3538
21.240234 74.796 143.1151
21.606445 75.428 135.6221
21.972656 74.973 127.2120
22.338867 76.256 123.1943
22.705077 77.147 116.4010
23.071288 77.434 114.1054
23.437499 78.270 107.6657
23.803710 78.497 95.3932
24.169921 78.072 87.9934
24.536132 77.924 84.7371
24.902343 77.579 78.2307
25.268554 76.490 70.1127
25.634765 75.216 66.6202
26.000976 75.107 68.5367
26.367187 75.521 64.5887
26.733397 74.370 58.6978
27.099608 73.082 63.4111
27.465819 73.864 64.0981
27.832030 74.173 59.3624
28.198241 74.618 62.1629
28.564452 75.597 58.0666
28.930663 74.659 44.4991
29.296874 70.895 33.3258
29.663085 65.766 65.8905
30.029296 72.874 90.1993
30.395507 76.746 63.4497
30.761717 75.577 26.5275
31.127928 65.981 -8.4805
31.494139 67.489 109.0249
31.860350 72.719 77.9501
32.226561 71.994 66.4932
32.592772 72.864 75.9933
32.958983 74.162 71.2188
33.325194 74.100 68.5604
33.691405 75.127 65.6397
34.057616 75.648 55.5731
34.423827 75.413 52.2255
34.790037 76.251 50.8430
35.156248 76.891 42.6295
35.522459 76.965 36.0346
35.888670 77.342 29.6547
36.254881 77.137 20.0043
36.621092 76.060 13.4734
36.987303 75.284 11.0658
37.353514 74.884 8.4095
37.719725 74.558 8.0524
