ms         event                        detail
4117       uaudio_chan_start            chan=fffffe006bc09c20
4117       configure_msg_sub ENTER      dir=PLAY
4117           GET_CUR SAM_FREQ         clockid=41 iface=0
4117       >>> SET_CUR SAM_FREQ         clockid=41 iface=0 rate=44100
4249           GET_CUR SAM_FREQ         clockid=41 iface=0
4249         SET_INTERFACE              iface=1 alt=1
4251       configure_msg_sub ENTER      dir=REC
4251       configure_msg_sub ENTER      dir=PLAY
4251       configure_msg_sub ENTER      dir=REC
7301       uaudio_chan_stop             chan=fffffe006bc09c20
7301       configure_msg_sub ENTER      dir=PLAY
7305         SET_INTERFACE              iface=1 alt=0
7305       configure_msg_sub ENTER      dir=REC
7305       configure_msg_sub ENTER      dir=PLAY
7305       configure_msg_sub ENTER      dir=REC
7305       configure_msg_sub ENTER      dir=PLAY
7305       configure_msg_sub ENTER      dir=REC
7305       configure_msg_sub ENTER      dir=PLAY
7305       configure_msg_sub ENTER      dir=REC
13451      uaudio_chan_start            chan=fffffe006bc09c20
13451      configure_msg_sub ENTER      dir=PLAY
13451          GET_CUR SAM_FREQ         clockid=41 iface=0
13451        SET_INTERFACE              iface=1 alt=1
13451      configure_msg_sub ENTER      dir=REC
13451      configure_msg_sub ENTER      dir=PLAY
13451      configure_msg_sub ENTER      dir=REC
16500      uaudio_chan_stop             chan=fffffe006bc09c20
16500      configure_msg_sub ENTER      dir=PLAY
16504        SET_INTERFACE              iface=1 alt=0
16504      configure_msg_sub ENTER      dir=REC
16504      configure_msg_sub ENTER      dir=PLAY
16504      configure_msg_sub ENTER      dir=REC
16504      configure_msg_sub ENTER      dir=PLAY
16504      configure_msg_sub ENTER      dir=REC
16504      configure_msg_sub ENTER      dir=PLAY
16504      configure_msg_sub ENTER      dir=REC
16577      uaudio_chan_start            chan=fffffe006bc09c20
16577      configure_msg_sub ENTER      dir=PLAY
16577          GET_CUR SAM_FREQ         clockid=41 iface=0
16577      >>> SET_CUR SAM_FREQ         clockid=41 iface=0 rate=48000
16716          GET_CUR SAM_FREQ         clockid=41 iface=0
16716        SET_INTERFACE              iface=1 alt=1
16716      configure_msg_sub ENTER      dir=REC
16716      configure_msg_sub ENTER      dir=PLAY
16716      configure_msg_sub ENTER      dir=REC
19750      uaudio_chan_stop             chan=fffffe006bc09c20
19750      configure_msg_sub ENTER      dir=PLAY
19754        SET_INTERFACE              iface=1 alt=0
19754      configure_msg_sub ENTER      dir=REC
19754      configure_msg_sub ENTER      dir=PLAY
19754      configure_msg_sub ENTER      dir=REC
19754      configure_msg_sub ENTER      dir=PLAY
19754      configure_msg_sub ENTER      dir=REC
19754      configure_msg_sub ENTER      dir=PLAY
19754      configure_msg_sub ENTER      dir=REC


-- trace ended --

